"...1","id","group","revenue_group","transboundary","type","Ult_BO","Multi_ent"
48,"Arunachal Pradesh s AS Marine sanctuary","Fishing-related Company","Low","no","Company",NA,NA
49,"Arunachal Pradesh s Kga Overseas","Consumer-goods Company","Medium","no","Company",NA,NA
50,"Arunachal Pradesh s Limited Liability Company","unknown","High","no","Company",NA,NA
51,"Arunachal Pradesh s Plc","Consumer-goods Company","Low","yes","Company",NA,NA
52,"Arunachal Pradesh s Sagl Transport","Fishing-related Company","Low","no","Company",NA,NA
53,"Asiotr Ltd. Liability Co Transit","Transport-logistics Company","Low","no","Company",NA,NA
54,"Assam   Limited Liability Company","Industrial Company","Low","yes","Company",NA,NA
55,"Atlantic Ocean Coast  Inc & Son's","Multi-Industry Company","Medium","no","Company",NA,NA
56,"Atlantic Ocean Coast  Shipyard GmbH & Co. KG Industrial","unknown","Medium","no","Company",NA,NA
57,"Atlántico Sur Pic Holdings","Multi-Industry Company","Low","no","Company",NA,NA
58,"Bahía Azul Aquamarine Corporation and Son's","Fishing-related Company","Low","no","Company",NA,NA
59,"Bahía Dorada Tidal flat","unknown","High","no","Company",NA,NA
60,"Bahía de Coral Ltd. Corporation Transport","Fishing-related Company","Low","no","Company",NA,NA
61,"Bahía de Coral S.p.A. Consultants","Food Company","Low","no","Company",NA,NA
62,"Bahía de Plata AS","Fishing-related Company","Low","no","Company",NA,NA
63,"Bahía de Plata Ltd","unknown","Unreported","no","Company",NA,NA
64,"Bahía de Plata Plc","Food Company","Low","no","Company",NA,NA
65,"Bahía de Plata Trawler AG Overseas","unknown","Unreported","no","Company",NA,NA
66,"Bahía de Plata United","unknown","Unreported","no","Company",NA,NA
67,"Bahía del Sol AS","unknown","Medium","no","Company",NA,NA
68,"Bahía del Sol Corporation","Multi-Industry Company","Low","yes","Company",NA,NA
69,"Bahía del Sol LLC Pelican","unknown","Unreported","no","Company",NA,NA
70,"Balkan Anchovy Sp Holdings","Seafood-processing Company","Low","no","Company",NA,NA
71,"Balkan Cat Ltd. Corporation Jetsam","unknown","Unreported","no","Company",NA,NA
72,"Balkan Pike Sextant S.A. de C.V. Worldwide","unknown","Unreported","no","Company",NA,NA
73,"Balkan Trout Ltd. Corporation Transit","Consumer-goods Company","Medium","no","Company",NA,NA
74,"Balkan Trout S.A. de C.V.","Fishing-related Company","Low","no","Company",NA,NA
75,"Baltic Salmon Corp Marine life","Consumer-goods Company","Low","no","Company",NA,NA
76,"Baltic Sprat AG Freight","unknown","Unreported","no","Company",NA,NA
77,"Baltic Sprat Incorporated Investment","Fishing-related Company","Low","no","Company",NA,NA
78,"Banded tilapia Shipping Deep-sea","unknown","High","no","Company",NA,NA
79,"Barco de Plata AB","unknown","Medium","no","Company",NA,NA
80,"Barco de Plata Aquamarine Sp and Son's","unknown","Medium","no","Company",NA,NA
81,"Barco de Plata Incorporated","Fishing-related Company","Medium","no","Company",NA,NA
82,"Barco de Plata Sagl","Transport-logistics Company","Low","no","Company",NA,NA
83,"Barents Sea  GmbH Line","Multi-Industry Company","Unreported","no","Company",NA,NA
84,"Barents Sea  NV Logistics","unknown","Medium","no","Company",NA,NA
85,"Barents Sea Cod - LC United","Seafood-processing Company","Low","no","Company",NA,NA
86,"Barents Sea Cod GmbH & Co. KG Line","Multi-Industry Company","Unreported","no","Company",NA,NA
87,"Barents Sea Shrimp LC Marine","Transport-logistics Company","Medium","no","Company",NA,NA
88,"Barents Sea Shrimp OJSC _","Fishing-related Company","High","no","Company",NA,NA
89,"Barents Sea Shrimp SE Marine biology","Multi-Industry Company","Low","no","Company",NA,NA
90,"Bay of Bengal's LLC","unknown","Unreported","no","Company",NA,NA
91,"Bay of Bengal's Ltd. Corporation","unknown","Low","no","Company",NA,NA
92,"Beach Breakers S.A. de C.V. Export","Food Company","Unreported","no","Company",NA,NA
93,"Beachcomber's Bounty Plc Worldwide","unknown","Unreported","no","Company",NA,NA
94,"Beachcombers Nautical Plc Carriers","Multi-Industry Company","Low","no","Company",NA,NA
95,"Belgian Cod S.A. de C.V. Hijiki","Food Company","Low","no","Company",NA,NA
96,"Belgian Lobster Ltd Pelican","Food Company","Low","no","Company",NA,NA
97,"Belgian Scallop AG Seagrass","Consumer-goods Company","Low","no","Company",NA,NA
98,"Belgian Scallop Marine biology SE United","Food Company","High","no","Company",NA,NA
99,"Belgian Shrimps Kga Holdings","Multi-Industry Company","Medium","no","Company",NA,NA
100,"Belgian Shrimps Oyj Brothers","Transport-logistics Company","Low","no","Company",NA,NA
101,"Benton Limited Liability Company","Seafood-processing Company","Unreported","no","Company",NA,NA
102,"Benton S.A. de C.V. Industrial","unknown","Low","no","Company",NA,NA
103,"Big Sulphur  Company Delivery","Transport-logistics Company","Low","no","Company",NA,NA
104,"Black Sea  Inc Freight","unknown","High","no","Company",NA,NA
105,"Black Sea Anchovy Oyj Transport","Industrial Company","Medium","no","Company",NA,NA
106,"Black Sea Sprat Co","Multi-Industry Company","Medium","no","Company",NA,NA
107,"Black Sea Tuna Ges.m.b.H.","Multi-Industry Company","Low","no","Company",NA,NA
108,"Blue Horizon AB Worldwide","Industrial Company","Unreported","no","Company",NA,NA
109,"Blue Lagoon Kga Distribution","Multi-Industry Company","Medium","no","Company",NA,NA
110,"Blue Ridge   Nori Company United","unknown","High","no","Company",NA,NA
111,"Blue Water Ventures Limited Liability Company","Consumer-goods Company","Unreported","yes","Company",NA,NA
112,"Blue Water Ventures Marine life","Seafood-processing Company","Low","no","Company",NA,NA
113,"Blue Water Ventures N.V.","unknown","Medium","no","Company",NA,NA
114,"Blue Water Ventures Sea GmbH Consulting","Transport-logistics Company","Low","no","Company",NA,NA
115,"BlueWater Bistro GmbH & Co. KG","unknown","High","no","Company",NA,NA
116,"Brisa Marina CJSC Bonito","Fishing-related Company","Low","no","Company",NA,NA
117,"Brisa Marina OJSC Freight","Consumer-goods Company","Unreported","no","Company",NA,NA
118,"Brisa del Mar Pic Marine","Industrial Company","Medium","no","Company",NA,NA
119,"Bu yu wang CJSC","unknown","Unreported","no","Company",NA,NA
120,"Bu yu wang Fish  Ltd. Corporation Family","unknown","Unreported","no","Company",NA,NA
121,"Bu yu wang Incorporated","Multi-Industry Company","Medium","no","Company",NA,NA
122,"Bu yu wang Sagl","unknown","Unreported","no","Company",NA,NA
123,"Bu yu wang Sp","Fishing-related Company","Unreported","no","Company",NA,NA
124,"Bujagali Falls  Corp Marine conservation","unknown","High","no","Company",NA,NA
125,"Bujagali Falls  Tidal flat A/S Freight","Seafood-processing Company","Low","no","Company",NA,NA
126,"Cameroon Estuary  GmbH & Co. KG Carriers","Multi-Industry Company","Unreported","no","Company",NA,NA
127,"Cape Verde Islands  Marine life","unknown","Medium","no","Company",NA,NA
128,"Cape Verde Islands  Pelican","Transport-logistics Company","Low","no","Company",NA,NA
129,"Cape Verde Islands  Plc Otter","unknown","Medium","no","Company",NA,NA
130,"Cape Verde Islands  Sp Overseas","unknown","High","no","Company",NA,NA
131,"Cape of Good Hope   AG Express","Seafood-processing Company","Unreported","no","Company",NA,NA
132,"Cape of Good Hope   BV","Transport-logistics Company","Low","no","Company",NA,NA
133,"Cape of Good Hope   Pic","unknown","Medium","no","Company",NA,NA
134,"Cape of Good Hope   Pic Distribution","unknown","High","no","Company",NA,NA
135,"Caracola Marina Corp Family","Food Company","Unreported","no","Company",NA,NA
136,"Caracola del Este GmbH","Multi-Industry Company","High","no","Company",NA,NA
137,"Caracola del Este Plc United","Multi-Industry Company","Low","no","Company",NA,NA
138,"Caracola del Este Seal","unknown","Low","no","Company",NA,NA
139,"Caracola del Este Transport Snapper","unknown","Medium","no","Company",NA,NA
140,"Caracola del Mar AG Express","unknown","Medium","no","Company",NA,NA
141,"Caracola del Mar Company","Food Company","Low","yes","Company",NA,NA
142,"Caracola del Mar NV Family","Food Company","Low","no","Company",NA,NA
143,"Caracola del Sol Delivery","unknown","Unreported","no","Company",NA,NA
144,"Chituku S.A. de C.V.","unknown","Unreported","yes","Company",NA,NA
145,"Chobe River   and Son's","Transport-logistics Company","Low","no","Company",NA,NA
146,"Coastal Castaway GmbH & Co. KG","unknown","Medium","no","Company",NA,NA
147,"Coastal Castaway Sp Herring","Seafood-processing Company","Low","no","Company",NA,NA
148,"Coastal Crusaders Corporation Beach","unknown","Medium","no","Company",NA,NA
149,"Coastal Currents Ltd. Corporation Transport","unknown","Unreported","no","Company",NA,NA
150,"Coastal Currents Sagl America","Multi-Industry Company","Low","no","Company",NA,NA
151,"Coastal Currents Sailor Inc Express","unknown","Unreported","no","Company",NA,NA
152,"CoastalCrave S.A. de C.V. Solutions","Transport-logistics Company","Low","no","Company",NA,NA
153,"Congo Basin  Ltd. Corporation Marine","unknown","Unreported","no","Company",NA,NA
154,"Congo Rapids   Green  GmbH Delivery","unknown","Unreported","no","Company",NA,NA
155,"Congo Rapids   Ltd. Corporation","Consumer-goods Company","Low","no","Company",NA,NA
156,"Congo Rapids   S.A. de C.V.","unknown","Unreported","no","Company",NA,NA
157,"Coral Azul N.V. Shipping","unknown","High","no","Company",NA,NA
158,"Coral Cove BV Line","unknown","Unreported","no","Company",NA,NA
159,"Coral Cove Corp Worldwide","Multi-Industry Company","Medium","no","Company",NA,NA
160,"Coral Cove Ltd Solutions","Industrial Company","Low","no","Company",NA,NA
161,"Coral Cove Marine mist LC Export","Fishing-related Company","High","no","Company",NA,NA
162,"Coral Kingdom NV Solutions","Transport-logistics Company","Medium","no","Company",NA,NA
163,"Coral del Cielo Plc","Multi-Industry Company","Low","no","Company",NA,NA
164,"Coral del Sur Forwading","unknown","Medium","no","Company",NA,NA
165,"Coral del Sur Inc","Multi-Industry Company","Low","no","Company",NA,NA
166,"Coral del Sur Limited Liability Company Consultants","Industrial Company","Low","no","Company",NA,NA
167,"Corp Limited Liability Company","unknown","Medium","no","Company",NA,NA
168,"Costa de Oro Company","Consumer-goods Company","Medium","no","Company",NA,NA
169,"Costa de Oro GmbH","Multi-Industry Company","Low","no","Company",NA,NA
170,"Costa de Oro S.p.A.","Fishing-related Company","Low","no","Company",NA,NA
171,"Costa de la Felicidad AG Export","unknown","High","no","Company",NA,NA
172,"Costa de la Felicidad GmbH & Co. KG Delivery","unknown","High","no","Company",NA,NA
173,"Costa del Mar Co","Food Company","Medium","no","Company",NA,NA
174,"Costa del Mar GmbH","Multi-Industry Company","Low","no","Company",NA,NA
175,"Costa del Sol Captain Corp Delivery","unknown","High","no","Company",NA,NA
176,"Costa del Sol Co","unknown","Unreported","no","Company",NA,NA
177,"Costa del Sol S.p.A.","Transport-logistics Company","Medium","no","Company",NA,NA
178,"Costa del Viento AG","unknown","Medium","no","Company",NA,NA
179,"Costa del Viento Sp","Multi-Industry Company","Low","no","Company",NA,NA
180,"Deep Sea Divers BV Logistics","unknown","Unreported","no","Company",NA,NA
181,"Delhi   Ltd. Liability Co","Fishing-related Company","Unreported","no","Company",NA,NA
182,"Delhi ers Express Lock","Seafood-processing Company","Low","no","Company",NA,NA
183,"Delhi ers LLC Holdings","Food Company","Low","no","Company",NA,NA
184,"Diao er  GmbH & Co. KG Marine conservation","unknown","Medium","no","Company",NA,NA
185,"Diao yu  BV Logistics","Fishing-related Company","Low","yes","Company",NA,NA
186,"Diao yu  Limited Liability Company Forwading","unknown","Low","no","Company",NA,NA
187,"Diao yu bi sai  BV","unknown","Unreported","yes","Company",NA,NA
188,"Diao yu bi sai  Inc","Food Company","Medium","no","Company",NA,NA
189,"Diàoyú A/S Marine biology","Multi-Industry Company","Low","no","Company",NA,NA
190,"Doris Ltd. Corporation Merchants","Industrial Company","Low","no","Company",NA,NA
191,"Drakensberg  Limited Liability Company","Food Company","Low","no","Company",NA,NA
192,"Dry Creek CJSC Marine","Seafood-processing Company","Low","no","Company",NA,NA
193,"Dry Creek SRL Investment","unknown","High","no","Company",NA,NA
194,"Dutch Bill  A/S Distribution","Transport-logistics Company","Medium","no","Company",NA,NA
195,"Dutch Eel S.p.A. Motorboat","Multi-Industry Company","Medium","no","Company",NA,NA
196,"Dutch Herring Sea Kga Logistics","unknown","Low","no","Company",NA,NA
197,"Dutch Mussels Co Brothers","Food Company","Low","no","Company",NA,NA
198,"Dutch Mussels S.A. de C.V. Line","Fishing-related Company","Low","no","Company",NA,NA
199,"Dutch Mussels S.p.A. Sea spray","Food Company","Low","no","Company",NA,NA
200,"Dutch Oyster Company Express","Multi-Industry Company","Low","no","Company",NA,NA
201,"Dutch Oyster Shipping Leska","Transport-logistics Company","Medium","no","Company",NA,NA
202,"Elara Mussel AS Marine biology","Transport-logistics Company","Low","no","Company",NA,NA
203,"Estrella de Mar LLC Shipping","Fishing-related Company","Medium","no","Company",NA,NA
204,"Estrella de Mar N.V.","Fishing-related Company","Low","no","Company",NA,NA
205,"Estrella de Mar Starfish","Multi-Industry Company","Medium","no","Company",NA,NA
206,"Estrella de la Costa & AB Import","unknown","Unreported","no","Company",NA,NA
207,"Estrella de la Costa CJSC","Multi-Industry Company","Medium","yes","Company",NA,NA
208,"Estrella de la Costa OJSC","unknown","Medium","no","Company",NA,NA
209,"Estrella del Mar AG","unknown","Unreported","no","Company",NA,NA
210,"Estrella del Mar Ges.m.b.H.","Consumer-goods Company","Low","no","Company",NA,NA
211,"Estrella del Mar Oyj Solutions","unknown","Unreported","no","Company",NA,NA
212,"Estrella del Mar ОАО Transit","Fishing-related Company","Low","no","Company",NA,NA
213,"Estrella del Sol AB","unknown","Unreported","no","Company",NA,NA
214,"Estrella del Sol Marine sanctuary GmbH & Co. KG Freight","unknown","High","no","Company",NA,NA
215,"Estrella del Sol Sagl Cargo","Industrial Company","Low","no","Company",NA,NA
216,"Ethiopian Highlands  AB Forwading","unknown","Unreported","no","Company",NA,NA
217,"Eudora GmbH & Co. KG Brothers","unknown","Medium","no","Company",NA,NA
218,"Eukrante GmbH & Co. KG Logistics","Fishing-related Company","Medium","no","Company",NA,NA
219,"Eukrante Marine biology A/S Express","Transport-logistics Company","Low","no","Company",NA,NA
220,"Express Limited Liability Company","Multi-Industry Company","Medium","no","Company",NA,NA
221,"Fan er  ОАО Delivery","Consumer-goods Company","Low","no","Company",NA,NA
222,"Faroe Islands Crab Marine sanctuary","unknown","Medium","no","Company",NA,NA
223,"Faroe Islands Shrimp AB","Food Company","Low","no","Company",NA,NA
224,"Faroe Islands Shrimp Inc Shipping","Seafood-processing Company","Low","no","Company",NA,NA
225,"Fin Addiction Ltd. Liability Co","unknown","Medium","no","Company",NA,NA
226,"Fin Addiction S.A. de C.V.","unknown","Low","no","Company",NA,NA
227,"Fin Flair Limited Liability Company","unknown","High","no","Company",NA,NA
228,"Fin Flair ОАО Carriers","Fishing-related Company","Low","no","Company",NA,NA
229,"Finest Dredge SRL Cargo","Industrial Company","Low","no","Company",NA,NA
230,"FinestSea Aquamarine AG United","unknown","Medium","no","Company",NA,NA
231,"FinestTaste Ltd. Liability Co","unknown","High","no","Company",NA,NA
232,"Fisher Marine conservation CJSC Transportation","Industrial Company","Low","no","Company",NA,NA
233,"Fisher S.A. de C.V.","Industrial Company","Low","no","Company",NA,NA
234,"Fisherman's Bounty Sagl Industrial","Food Company","Medium","no","Company",NA,NA
235,"Flint Seagull OJSC Holdings","Consumer-goods Company","Low","no","Company",NA,NA
236,"French Crab Kga Overseas","unknown","Unreported","no","Company",NA,NA
237,"French Crab Plc Carriers","unknown","Unreported","no","Company",NA,NA
238,"French Hake GmbH & Co. KG Logistics","Food Company","Low","no","Company",NA,NA
239,"French Hake Limited Liability Company Consulting","unknown","Unreported","no","Company",NA,NA
240,"French Hake Pic Seagull","unknown","Medium","no","Company",NA,NA
241,"French Sardine Trawler OJSC United","unknown","Medium","no","Company",NA,NA
242,"French Sole AB Lighthouse","Transport-logistics Company","Low","no","Company",NA,NA
243,"Fresh  Ltd. Liability Co","unknown","High","no","Company",NA,NA
244,"George Marine mist Sagl Delivery","Multi-Industry Company","Unreported","no","Company",NA,NA
245,"George S.A. de C.V.","Food Company","Unreported","yes","Company",NA,NA
246,"Ghetla Ltd. Liability Co","Seafood-processing Company","Medium","no","Company",NA,NA
247,"Great Ruaha River  NV Seal","unknown","Medium","no","Company",NA,NA
248,"Great Ruaha River  Oceanfront","Transport-logistics Company","Medium","no","Company",NA,NA
249,"Greek Mackerel Ltd. Corporation Express","unknown","Medium","no","Company",NA,NA
250,"Greek Octopus Dredge SE Forwading","Consumer-goods Company","Low","no","Company",NA,NA
251,"Greek Octopus Limited Liability Company","Transport-logistics Company","Medium","no","Company",NA,NA
252,"Greek Octopus Ltd. Corporation","unknown","Unreported","no","Company",NA,NA
253,"Greek Sea Bream Bonito LC Brothers","Seafood-processing Company","Low","no","Company",NA,NA
254,"Greek Sea Bream and","Multi-Industry Company","Low","no","Company",NA,NA
255,"Greek ermen GmbH & Co. KG -","unknown","High","no","Company",NA,NA
256,"Greek ermen Kga Freight","Transport-logistics Company","Low","no","Company",NA,NA
257,"Green Valley Marine biology Kelp","Consumer-goods Company","Low","no","Company",NA,NA
258,"Group Ltd. Liability Co","Food Company","Low","no","Company",NA,NA
259,"Group S.A. de C.V.","unknown","Unreported","no","Company",NA,NA
260,"Group and Son's Dry dock","Fishing-related Company","Unreported","no","Company",NA,NA
261,"Guinea Gulf  America AS & Son's","Food Company","Unreported","no","Company",NA,NA
262,"Gujarat   GmbH & Co. KG","Food Company","High","no","Company",NA,NA
263,"Gujarat  S.A. de C.V.","unknown","Unreported","no","Company",NA,NA
264,"Gvardeysk Ltd. Liability Co","unknown","High","no","Company",NA,NA
265,"Gvardeysk S.A. de C.V. Forwading","unknown","High","no","Company",NA,NA
266,"Haikou Ltd. Liability Co","unknown","High","no","Company",NA,NA
267,"Halie Seafoam N.V. Transit","Multi-Industry Company","Low","no","Company",NA,NA
268,"Harbah Ltd. Liability Co Brothers","unknown","Medium","no","Company",NA,NA
269,"Harbah Motorboat AG Shipping","Industrial Company","Unreported","no","Company",NA,NA
270,"Haryana Sea  Marine ecology","Fishing-related Company","Low","no","Company",NA,NA
271,"Haryana s A/S Cargo","Transport-logistics Company","Medium","no","Company",NA,NA
272,"Haryana s Catchers ОАО Enterprises","Fishing-related Company","Low","no","Company",NA,NA
273,"Haryana s Limited Liability Company Solutions","Transport-logistics Company","Low","no","Company",NA,NA
274,"Henan Ltd. Liability Co","Seafood-processing Company","Low","no","Company",NA,NA
275,"Henties Bay  Ltd. Corporation Family","Transport-logistics Company","Medium","no","Company",NA,NA
276,"Henties Bay  United Captain","unknown","Medium","no","Company",NA,NA
277,"Himachal Pradesh   Cruise ship Inc Investment","Food Company","Low","no","Company",NA,NA
278,"Himachal Pradesh   Incorporated Herring","Multi-Industry Company","Low","no","Company",NA,NA
279,"Himachal Pradesh  GmbH & Co. KG","unknown","Medium","no","Company",NA,NA
280,"Himachal Pradesh  Limited Liability Company Transport","Multi-role Entity","Unreported","yes","Company",NA,NA
281,"Ianira GmbH & Co. KG Transit","Food Company","Low","no","Company",NA,NA
282,"Ianira Limited Liability Company -","unknown","Medium","no","Company",NA,NA
283,"Ianira Tugboat LC Investment","unknown","High","no","Company",NA,NA
284,"Icelandic Cat Transport Charter Boat","unknown","Medium","no","Company",NA,NA
285,"Icelandic Oysters Dockyard Ltd Transit","unknown","High","no","Company",NA,NA
286,"Icelandic Oysters Ltd. Corporation Investment","Multi-Industry Company","Unreported","no","Company",NA,NA
287,"Indian Ocean Harvesters A/S","unknown","High","no","Company",NA,NA
288,"Indian Ocean Harvesters AG Transportation","Multi-Industry Company","Medium","no","Company",NA,NA
289,"Irish Crab Sp Services","Industrial Company","Medium","no","Company",NA,NA
290,"Irish Mackerel S.A. de C.V. Marine biology","Seafood-processing Company","Unreported","no","Company",NA,NA
291,"Irish Scallop Inc Transport","unknown","Medium","no","Company",NA,NA
292,"Irish Sea  Incorporated Transit","Fishing-related Company","Medium","no","Company",NA,NA
293,"Irish Trout BV Logistics","Consumer-goods Company","Low","no","Company",NA,NA
294,"Irish Trout GmbH & Co. KG","Food Company","Low","no","Company",NA,NA
295,"Irish Trout Inc Solutions","unknown","Medium","no","Company",NA,NA
296,"Irtysh  Limited Liability Company Catfish","unknown","Unreported","no","Company",NA,NA
297,"Irtysh  S.A. de C.V. Investment","unknown","Low","no","Company",NA,NA
298,"Isla Azul A/S Brothers","unknown","Unreported","no","Company",NA,NA
299,"Isla del Este Ltd","Consumer-goods Company","Low","no","Company",NA,NA
300,"Isla del Mar BV","Seafood-processing Company","Medium","no","Company",NA,NA
301,"Isla del Mar Incorporated Transport","unknown","Medium","no","Company",NA,NA
302,"Isla del Mar LLC","Food Company","Low","no","Company",NA,NA
303,"Isla del Mar Ltd. Liability Co Enterprises","Fishing-related Company","Low","no","Company",NA,NA
304,"Isla del Tesoro CJSC","Food Company","Low","no","Company",NA,NA
305,"Italian Anchovy LC International","Transport-logistics Company","Low","no","Company",NA,NA
306,"Italian Anchovy Pic Carriers","unknown","Unreported","no","Company",NA,NA
307,"Italian Sardines Ltd. Liability Co Transport","unknown","Medium","no","Company",NA,NA
308,"Italian Sword OJSC Transport","unknown","Medium","no","Company",NA,NA
309,"Italian Tuna Plc Logistics","Food Company","Medium","no","Company",NA,NA
310,"James Limited Liability Company","unknown","Unreported","yes","Company",NA,NA
311,"Jammu & Kashmir  AB Consultants","Transport-logistics Company","Low","no","Company",NA,NA
312,"Jammu & Kashmir  Ocean","Food Company","Unreported","no","Company",NA,NA
313,"Jammu & Kashmir  SRL","unknown","Medium","no","Company",NA,NA
314,"Jammu & Kashmir Sea  Cod SRL Cargo","Transport-logistics Company","Low","no","Company",NA,NA
315,"Jammu & Kashmir Sea  Ltd Investment","Seafood-processing Company","Low","no","Company",NA,NA
316,"Kallianassa Fish  AG Solutions","Fishing-related Company","Low","yes","Company",NA,NA
317,"Kambala Coral Co Shipping","Transport-logistics Company","Low","no","Company",NA,NA
318,"Kambala Ltd. Liability Co","Consumer-goods Company","Low","no","Company",NA,NA
319,"Karelians Plc Marine conservation","Industrial Company","Low","no","Company",NA,NA
320,"Karelians S.A. de C.V.","unknown","Medium","no","Company",NA,NA
321,"Karnataka  Limited Liability Company","unknown","Medium","no","Company",NA,NA
322,"Karnataka s CJSC Worldwide","Industrial Company","Unreported","no","Company",NA,NA
323,"Karnataka s and GmbH Brothers","unknown","Unreported","no","Company",NA,NA
324,"Kerala   S.A. de C.V. Express","unknown","Unreported","no","Company",NA,NA
325,"Kerala  Market Oyj Freight","Consumer-goods Company","Medium","no","Company",NA,NA
326,"Khundu N.V. and Son's","Seafood-processing Company","Low","no","Company",NA,NA
327,"Kilimajaro Slopes   N.V. Logistics","unknown","Unreported","no","Company",NA,NA
328,"Kilimanjaro fishery Kga Nautical","Seafood-processing Company","Low","no","Company",NA,NA
329,"Kong zhong diao yu  Ges.m.b.H.","Transport-logistics Company","Low","no","Company",NA,NA
330,"Kong zhong diao yu  Kga","Food Company","Low","yes","Company",NA,NA
331,"Kong zhong diao yu  LC","Multi-Industry Company","Low","no","Company",NA,NA
332,"La gan  Ltd. Liability Co","Food Company","Unreported","yes","Company",NA,NA
333,"Lachlan S.A. de C.V.","unknown","Medium","no","Company",NA,NA
334,"Lake Chad  Limited Liability Company Export","Transport-logistics Company","Low","no","Company",NA,NA
335,"Lake Kainji  - AS & Son's","unknown","Unreported","no","Company",NA,NA
336,"Lake Kainji  GmbH Transport","unknown","Medium","no","Company",NA,NA
337,"Lake Kainji  Inc Transport","unknown","High","no","Company",NA,NA
338,"Lake Kainji  S.p.A. Export","Industrial Company","Low","no","Company",NA,NA
339,"Lake Malawi  Corp United","Transport-logistics Company","Unreported","no","Company",NA,NA
340,"Lake Malawi  Sailboat Ltd. Corporation Freight","Food Company","Low","no","Company",NA,NA
341,"Lake Motoso  GmbH & Co. KG Transportation","unknown","High","no","Company",NA,NA
342,"Lake Mweru  Sagl Marine ecology","unknown","Medium","no","Company",NA,NA
343,"Lake Nyasa  Oyj Export","unknown","Medium","no","Company",NA,NA
344,"Lake Tanganyika  Inc Services","unknown","Medium","no","Company",NA,NA
